id,code,name,set,user_type_ids/id
metro_account_movement_types.A00_APC,A00,Opening balance,APC,
metro_account_movement_types.A10_APC,A10,Trans. difference opening balance,APC,
metro_account_movement_types.A17_APC,A17,valuat. at balance sheet date,APC,
metro_account_movement_types.A30_APC,A30,Accumulation,APC,
metro_account_movement_types.A20_APC,A20,Addition from business combination,APC,
metro_account_movement_types.A22_APC,A22,Other addition to consolidation group,APC,
metro_account_movement_types.A25_APC,A25,Disposal from consolidation group,APC,
metro_account_movement_types.A35_APC,A35,Indexation,APC,
metro_account_movement_types.A40_APC,A40,Addition,APC,"account.data_account_type_current_assets,account.data_account_type_non_current_assets,account.data_account_type_fixed_assets,account.data_account_type_non_current_liabilities"
metro_account_movement_types.A45_APC,A45,Addition IFRS 5,APC,
metro_account_movement_types.A50_APC,A50,Disposal,APC,"account.data_account_type_current_assets,account.data_account_type_non_current_assets,account.data_account_type_fixed_assets,account.data_account_type_non_current_liabilities"
metro_account_movement_types.A51_APC,A51,Devaluation,APC,
metro_account_movement_types.A55_APC,A55,Disposal IFRS 5,APC,
metro_account_movement_types.A80_APC,A80,Transfer,APC,
metro_account_movement_types.D00_DEP,D00,Opening balance,DEP,
metro_account_movement_types.D10_DEP,D10,Trans. difference opening balance,DEP,
metro_account_movement_types.D12_DEP,D12,Trans. difference period value,DEP,
metro_account_movement_types.D12_DEP,D12,Depreciation trans. difference period value,DEP,
metro_account_movement_types.D20_DEP,D20,Addition to consolidation group,DEP,
metro_account_movement_types.D25_DEP,D25,Disposal from consolidation group,DEP,
metro_account_movement_types.D35_DEP,D35,Indexation,DEP,
metro_account_movement_types.D40_DEP,D40,Addition ordinary,DEP,
metro_account_movement_types.D45_DEP,D45,Addition oridinary IFRS 5,DEP,
metro_account_movement_types.D41_DEP,D41,Addition extraordinary,DEP,
metro_account_movement_types.D46_DEP,D46,Addition extraordinary IFRS 5,DEP,
metro_account_movement_types.D53_DEP,D53,Devaluation/Impairment Loss IFRS 5,DEP,
metro_account_movement_types.D50_DEP,D50,Disposal ordinary,DEP,
metro_account_movement_types.D55_DEP,D55,Disposal ordinary IFRS 5,DEP,
metro_account_movement_types.D51_DEP,D51,Disposal extraordinary,DEP,
metro_account_movement_types.D56_DEP,D56,Disposal extraordinary IFRS 5,DEP,
metro_account_movement_types.D80_DEP,D80,Transfer,DEP,
metro_account_movement_types.D60_DEP,D60,Write-up,DEP,
metro_account_movement_types.D43_DEP,D43,Revaluation/Impairment Gain IFRS 5,DEP,
metro_account_movement_types.D61_DEP,D61,Write-up indexation,DEP,
metro_account_movement_types.E00_EQU,E00,Opening balance,EQU,
metro_account_movement_types.E10_EQU,E10,Trans. difference opening balance,EQU,
metro_account_movement_types.E20_EQU,E20,Addition to consolidation group,EQU,
metro_account_movement_types.E70_EQU,E70,Increase in minorities w/o loss control,EQU,
metro_account_movement_types.E25_EQU,E25,Disposal from consolidation group,EQU,
metro_account_movement_types.E35_EQU,E35,Indexation,EQU,
metro_account_movement_types.E40_EQU,E40,"Capital increase, outside cont",EQU,
metro_account_movement_types.E41_EQU,E41,"Capital increase, equity-funded",EQU,
metro_account_movement_types.E60_EQU,E60,Transfer to reserves retained from earnings,EQU,
metro_account_movement_types.E61_EQU,E61,Transfer to capital reserves,EQU,
metro_account_movement_types.E65_EQU,E65,Transfer from reserves retained from earnings,EQU,
metro_account_movement_types.E66_EQU,E66,Transfer from capital reserves,EQU,
metro_account_movement_types.E50_EQU,E50,Capital decrease,EQU,
metro_account_movement_types.E80_EQU,E80,Reclassification,EQU,
metro_account_movement_types.P00_PRO,P00,Opening balance,PRO,
metro_account_movement_types.P10_PRO,P10,Trans. difference opening balance,PRO,
metro_account_movement_types.P20_PRO,P20,Addition to consolidation group,PRO,
metro_account_movement_types.P25_PRO,P25,Disposal from consolidation group,PRO,
metro_account_movement_types.P35_PRO,P35,Indexation,PRO,
metro_account_movement_types.P54_PRO,P54,Utilisation,PRO,
metro_account_movement_types.P50_PRO,P50,Release,PRO,
metro_account_movement_types.P40_PRO,P40,Allocation,PRO,
metro_account_movement_types.P80_PRO,P80,Transfer,PRO,
metro_account_movement_types.P30_PRO,P30,Accumulation,PRO,
metro_account_movement_types.P31_PRO,P31,Discount rate change,PRO,
metro_account_movement_types.V00_VAL,V00,Opening balance,VAL,
metro_account_movement_types.V10_VAL,V10,Trans. difference opening balance,VAL,
metro_account_movement_types.V12_VAL,V12,Trans. difference period value,VAL,
metro_account_movement_types.V17_VAL,V17,Valuat. at balance sheet date,VAL,
metro_account_movement_types.V30_VAL,V30,Accumulation,VAL,
metro_account_movement_types.V20_VAL,V20,Addition to consolidation group,VAL,
metro_account_movement_types.V25_VAL,V25,Disposal from consolidation group,VAL,
metro_account_movement_types.V35_VAL,V35,Indexation,VAL,
metro_account_movement_types.V40_VAL,V40,Addition,VAL,
metro_account_movement_types.V54_VAL,V54,Utilisation,VAL,
metro_account_movement_types.V50_VAL,V50,Dissolution,VAL,
metro_account_movement_types.V80_VAL,V80,Transfer,VAL,
metro_account_movement_types.E67_EQU,E67,Dividend distribution,EQU,
